易发TV,#genre#
备用群,https://mirror.ghproxy.com/https://github.com/zgyd11/xiangjiao/blob/main/jar/易发交流中心.mp4
CCTV1,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV13,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv13_2/index.m3u8
感谢支持
交流群 645316932 已满
备用群 864959034
临时频道,#genre#
(临时)重温经典1,http://mtw.so/5Gns7P
(临时)重温经典2,http://mtw.so/5NPX0U
(临时)重温经典3,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
(临时)重温经典4,http://43.141.130.33/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
(IPv6)翡翠台,https://iptv.hiper25.com/TVB/video.m3u8
(IPv6)明珠台,https://iptv.hiper25.com/Pearl/video.m3u8
(IPv6)澳門澳視,https://iptv.hiper25.com/TDM/video.m3u8
(临时)无线财经,http://mtw.so/5Vma8v
(临时)广电翡翠,http://mtw.so/69JDZd
(临时)翡翠,http://mtw.so/5y76LR
(临时1)翡翠台,http://mtw.so/69P9aV
(临时1)无线新闻,http://mtw.so/6hha6A
(临时1)无线财经,http://mtw.so/6oNnbh
(临时1)J2台,http://mtw.so/6wjaf4
(临时1)亚洲武侠,http://mtw.so/5y9tDv
(临时2)韩国娱乐,http://mtw.so/5VmkBn
(临时2)now体育,http://mtw.so/62SxG4
(临时2)东森电影,http://mtw.so/69INir
(临时2)东森超视,http://mtw.so/6oLaAp
(临时2)天映频道2,http://mtw.so/6whnF6
(临时2)香港C+,http://mtw.so/5GjUs9
岗奥抬频道,#genre#
(3线)NOW体育,http://47.106.39.230:8080/HK1/nowty/hls.m3u8
(3线)NOW体育2,http://47.106.39.230:8080/HK/nowty2/hls.m3u8
(3线)NOW新闻,http://47.106.39.230:8080/HK1/nowxw/hls.m3u8
(3线)NOW星影,http://47.106.39.230:8080/HK1/nowxy/hls.m3u8
(3线)NOW爆谷,http://47.106.39.230:8080/HK1/nowbg/hls.m3u8
(3线)广电翡翠2,http://47.106.39.230:8080/GN/gdfc2/hls.m3u8
(3线)翡翠,http://47.106.39.230:8080/HK/tvb2/hls.m3u8
(3线)无线新闻,http://47.106.39.230:8080/HK/tvb/hls.m3u8

(4线)NOW体育,http://58.87.99.251:8090/HK1/nowbaogu/hls.m3u8
(4线)NOW新闻,http://58.87.99.251:8090/HK/nowxingying/hls.m3u8
(4线)广电翡翠2,http://58.87.99.251:8090/GN/gdfc2/hls.m3u8
(4线)翡翠,http://58.87.99.251:8090/HK/tvb/hls.m3u8

(1线)NOW体育,http://119.23.61.191:8088/HK/nowbg/hls.m3u8
(1线)NOW新闻,http://119.23.61.191:8088/HK/nowxy/hls.m3u8
(1线)hoy77,http://119.23.61.191:8088/HK/hoy77/hls.m3u8
(1线)hoy78,http://119.23.61.191:8088/HK/hoy78/hls.m3u8
(1线)无线财经,http://119.23.61.191:8088/HK/wxcj/hls.m3u8
(1线)无线新闻,http://119.23.61.191:8088/HK/wxxw/hls.m3u8
(1线)j2,http://119.23.61.191:8088/HK/j2.live.flv

(2线)无线财经,http://154.yfvodcdn.com:8080/live/TVBtyzxt1/hls.m3u8
(2线)无线新闻,http://154.yfvodcdn.com:8080/live/TVBwxxwt/hls.m3u8
(2线)三立新闻,http://154.yfvodcdn.com:8080/live/slxw01/hls.m3u8
(2线)三立新闻+,http://154.yfvodcdn.com:8080/live/slxw02/hls.m3u8
(2线)民视新闻,http://154.yfvodcdn.com:8080/live/tymsxw1/hls.m3u8
(2线)tvbs新闻,http://154.yfvodcdn.com:8080/live/tytvbs1/hls.m3u8
(2线)台视新闻,http://154.yfvodcdn.com:8080/live/tyxltsxw3/hls.m3u8
(2线)中天新闻,http://154.yfvodcdn.com:8080/live/ztylt01/hls.m3u8
(2线)中天新闻2,http://154.yfvodcdn.com:8080/live/ztylt02/hls.m3u8
(2线)台视,http://154.yfvodcdn.com:8080/live/ztylt05/hls.m3u8
(2线)中视,http://154.yfvodcdn.com:8080/live/ztylt06/hls.m3u8
(2线)华视,http://154.yfvodcdn.com:8080/live/ztylt13/hls.m3u8

(大街)中视,rtmp://220.130.201.73/sat/tv091
(大街)华视,rtmp://220.130.201.73/sat/tv111
(大街)台视,rtmp://220.130.201.73/sat/tv071
(大街)民视,rtmp://220.130.201.73/sat/tv051
(大街)纬来体育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
(大街)纬来体育,rtmp://220.130.201.73/sat/tv721
(大街)纬来育乐,rtmp://220.130.201.73/sat/tv701
(大街)纬来日本,rtmp://220.130.201.73/sat/tv771
(大街)东森超视,rtmp://220.130.201.73/sat/tv331
(大街)凤凰中文,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
(大街)凤凰资讯,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
(大街)香港凤凰,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.flv
(大街)星河,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
(大街)功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
